fire_id,latitude,longitude,acq_date,acq_time,ml_prediction,ml_probability,user_label,feedback_date,notes
31.4348_39.1282_2025-11-22_0000,31.4348,39.1282,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
31.4341_39.1294_2025-11-22_0000,31.4341,39.1294,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
31.4331_39.1298_2025-11-22_0000,31.4331,39.1298,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
28.2686_43.196_2025-11-22_0000,28.2686,43.196,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
28.2704_43.1973_2025-11-22_0000,28.2704,43.1973,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
26.4917_43.9637_2025-11-22_0000,26.4917,43.9637,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
26.4907_43.9631_2025-11-22_0000,26.4907,43.9631,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
26.4932_43.9593_2025-11-22_0000,26.4932,43.9593,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
26.4923_43.9597_2025-11-22_0000,26.4923,43.9597,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
27.0199_49.5777_2025-11-22_0000,27.0199,49.5777,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
27.018_49.579_2025-11-22_0000,27.018,49.579,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
27.0171_49.579_2025-11-22_0000,27.0171,49.579,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
27.0167_49.5804_2025-11-22_0000,27.0167,49.5804,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
27.0173_49.5742_2025-11-22_0000,27.0173,49.5742,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
27.01_49.5602_2025-11-22_0000,27.01,49.5602,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
27.0246_49.5323_2025-11-22_0000,27.0246,49.5323,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
27.0381_49.5641_2025-11-22_0000,27.0381,49.5641,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
27.0519_49.5527_2025-11-22_0000,27.0519,49.5527,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
16.7361_43.0501_2025-11-25_0000,16.7361,43.0501,2025-11-25,0000,unknown,0.5,industrial_flare,2025-11-25,NA
23.9622_38.279_2025-11-25_0000,23.9622,38.279,2025-11-25,0000,unknown,0.5,industrial_flare,2025-11-25,NA
23.9617_38.28_2025-11-25_0000,23.9617,38.28,2025-11-25,0000,unknown,0.5,industrial_flare,2025-11-25,NA
